Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1564503558000,00:e0:4c:8d:8d:3b,-87,STARNET-Kovarova,14.43853718,48.98338928,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,12412
1564503715000,00:e0:4c:8d:8f:cf,-90,JH,14.43751867,48.98500282,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1584895250000,00:e0:4c:8d:92:5f,-86,STARNET_Migl,14.30602509,48.7965228,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1564570093000,00:e0:4c:8d:94:07,-88,STARNET_PC,14.47956525,48.97537795,11,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1564502746000,00:e0:4c:8d:94:6b,-88,J-P,14.44265125,48.98228399,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1565375272000,00:e0:4c:8d:94:b8,-73,STARNET_AJ_5G,14.32131834,48.81535311,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1565375276000,00:e0:4c:8d:94:bf,-62,STARNET_AJ,14.32137867,48.81537738,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1564503405000,00:e0:4c:8d:95:d7,-82,STARNET_2_plmw,14.44091659,48.98341404,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,42427
1588691539000,00:e0:4c:8d:96:03,-79,STARNET_JB,14.30748489,48.80042898,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1564502808000,00:e0:4c:8d:96:d3,-56,OFFICE4D,14.44212143,48.98264882,20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1564503561000,00:e0:4c:8d:96:eb,-88,STARNET_2_5o8f,14.43852692,48.98343653,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,22417
1564231866000,00:e0:4c:98:e9:e0,-66,MegaNail-5G,14.31225372,48.80612078,6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1564231870000,00:e0:4c:98:e9:e7,-56,MegaNail,14.31227605,48.80615696,7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1564570561000,00:e0:4c:98:ea:64,-89,Sulistova_5G,14.47724095,49.00574949,10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1564570554000,00:e0:4c:98:ea:6b,-76,Sulistova,14.47744422,49.00564267,11,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,102457
1565374631000,00:e0:4c:98:ff:ec,-89,Dvorakovi 5G,14.32215111,48.81252595,5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
1565374762000,00:e0:4c:98:ff:f3,-80,Dvorakovi,14.32243363,48.81355846,4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,62437
1564232612000,00:e0:4c:99:03:1b,-56,Thai 1,14.31442244,48.80616653,11,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1565374129000,00:e0:4c:99:04:d7,-85,Po Vode 103,14.31953674,48.8068499,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,22417
1589042049000,00:e0:4c:99:05:78,-88,STARNET_5_gpaj,14.3105382,48.80088216,3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,-5220
